,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Alugan,12.22,125.48,84.72,80,100,13.18,PH,1603252574
1,Walvis Bay,-22.96,14.51,57.99,82,0,10.29,NA,1603252574
2,San Policarpo,12.18,125.51,84.67,79,100,14.12,PH,1603252512
3,Hilo,19.73,-155.09,82.4,58,90,6.93,US,1603252297
4,Jamestown,42.1,-79.24,48.99,100,90,5.82,US,1603252574
5,Avarua,-21.21,-159.78,73.4,94,100,4.7,CK,1603252399
6,Dikson,73.51,80.55,24.62,97,93,4.63,RU,1603252395
7,Virginia Beach,36.85,-75.98,68.0,94,90,4.5,US,1603252357
8,Vaini,-21.2,-175.2,75.2,69,75,9.17,TO,1603252575
9,Loukhi,66.08,33.04,27.18,98,78,4.36,RU,1603252576
10,Busselton,-33.65,115.33,73.99,33,18,8.79,AU,1603252576
11,Bad Kreuznach,49.83,7.87,55.99,75,100,8.16,DE,1603252576
12,Rikitea,-23.12,-134.97,73.9,76,21,9.73,PF,1603252576
13,Arraial do Cabo,-22.97,-42.03,72.01,86,0,18.43,BR,1603252359
14,Santa Cruz de la Sierra,-17.8,-63.17,78.8,74,96,6.93,BO,1603252577
15,Mataura,-46.19,168.86,55.99,64,23,15.01,NZ,1603252577
16,Yumen,40.28,97.2,62.06,24,0,13.06,CN,1603252577
17,Pingliang,35.54,106.69,64.09,28,0,9.46,CN,1603252578
18,Lamu,-2.27,40.9,78.94,81,83,11.86,KE,1603252578
19,Salta,-24.79,-65.41,66.2,72,90,5.82,AR,1603252335
20,Bisira,8.52,-81.71,58.39,100,100,1.74,PA,1603252578
21,George Town,5.41,100.34,86.0,66,20,4.7,MY,1603252579
22,Bluff,-46.6,168.33,55.99,64,42,15.01,NZ,1603252405
23,Takoradze,4.88,-1.76,75.79,91,99,7.0,GH,1603252295
24,Tuktoyaktuk,69.45,-133.04,23.0,92,90,18.34,CA,1603252579
25,Hasaki,35.73,140.83,70.0,55,40,16.11,JP,1603252579
26,Bathsheba,13.22,-59.52,80.6,83,40,6.93,BB,1603252580
27,Portland,45.52,-122.68,57.99,78,85,4.21,US,1603252566
28,Bambous Virieux,-20.34,57.76,79.0,69,75,12.75,MU,1603252580
29,Mange,8.92,-12.85,74.16,95,57,1.16,SL,1603252581
30,Saldanha,-33.01,17.94,42.8,87,0,4.7,ZA,1603252581
31,Luján,-34.57,-59.1,52.0,72,19,8.99,AR,1603252581
32,Bandarbeyla,9.49,50.81,80.64,63,3,12.68,SO,1603252581
33,Hithadhoo,-0.6,73.08,82.27,79,42,13.4,MV,1603252582
34,Kruisfontein,-34.0,24.73,46.99,94,0,5.44,ZA,1603252582
35,Adelanto,34.58,-117.41,68.0,18,1,4.7,US,1603252582
36,Longyearbyen,78.22,15.64,26.6,68,40,4.7,SJ,1603252582
37,Khani,41.96,42.96,55.4,93,75,2.24,GE,1603252582
38,Port Augusta,-32.5,137.77,84.99,44,0,10.29,AU,1603252583
39,Atuona,-9.8,-139.03,77.77,77,65,17.78,PF,1603252459
40,Tasiilaq,65.61,-37.64,32.0,97,100,13.87,GL,1603252583
41,Thinadhoo,0.53,72.93,82.53,80,100,11.9,MV,1603252584
42,Mahébourg,-20.41,57.7,77.0,69,75,12.75,MU,1603252584
43,Ushuaia,-54.8,-68.3,39.2,86,100,8.05,AR,1603252318
44,Carnarvon,-24.87,113.63,75.2,57,75,18.34,AU,1603252584
45,Sokoni,-6.43,39.55,75.2,83,20,7.81,TZ,1603252585
46,Merauke,-8.47,140.33,85.14,69,36,13.29,ID,1603252290
47,East London,-33.02,27.91,53.6,71,0,8.05,ZA,1603252585
48,Alofi,-19.06,-169.92,74.91,84,100,22.35,NU,1603252586
49,Fukuechō,32.69,128.84,73.4,69,75,10.29,JP,1603252586
50,Butaritari,3.07,172.79,82.49,73,49,8.52,KI,1603252586
51,Saint Paul Harbor,57.79,-152.41,44.6,45,1,8.05,US,1603252586
52,Turukhansk,65.82,87.98,20.75,97,100,12.06,RU,1603252587
53,Plouzané,48.38,-4.62,59.0,93,90,3.36,FR,1603252587
54,Nizwá,22.93,57.53,81.86,11,0,4.23,OM,1603252587
55,Onguday,50.75,86.15,45.1,52,54,4.05,RU,1603252587
56,Ankazoabo,-22.28,44.52,75.79,40,0,5.77,MG,1603252588
57,Sayyan,15.17,44.32,53.47,39,0,6.15,YE,1603252588
58,Limoeiro do Norte,-5.15,-38.1,73.27,70,0,6.67,BR,1603252588
59,Klaksvík,62.23,-6.59,39.2,80,22,14.99,FO,1603252588
60,Vostok,46.49,135.88,53.37,43,100,6.2,RU,1603252589
61,Albany,42.6,-73.97,52.0,88,100,3.4,US,1603252589
62,Chiungutwa,-10.88,38.98,72.0,74,96,1.36,TZ,1603252589
63,Sinnamary,5.38,-52.95,79.3,82,100,11.56,GF,1603252589
64,Kaitangata,-46.28,169.85,52.99,59,56,6.31,NZ,1603252482
65,Hermanus,-34.42,19.23,51.01,84,0,1.99,ZA,1603252590
66,Vardø,70.37,31.11,30.2,86,75,10.29,NO,1603252590
67,Clyde River,70.47,-68.59,28.4,74,1,14.99,CA,1603252591
68,Torbay,47.67,-52.73,59.0,93,75,16.11,CA,1603252591
69,Lake City,30.19,-82.64,73.99,94,90,4.7,US,1603252591
70,Esso,55.93,158.7,29.98,92,79,12.82,RU,1603252591
71,Chupa,66.27,33.05,28.49,98,95,4.72,RU,1603252592
72,Poum,-20.23,164.02,75.96,67,1,1.48,NC,1603252592
73,Arrondissement de Mantes-la-Jolie,49.0,1.67,57.0,93,100,9.17,FR,1603252592
74,Termoli,41.99,14.99,55.0,61,0,5.99,IT,1603252592
75,Nabire,-3.37,135.48,77.29,90,100,3.42,ID,1603252593
76,Sitka,57.05,-135.33,41.0,86,90,3.36,US,1603252593
77,Guarapari,-20.67,-40.5,72.0,88,75,4.7,BR,1603252347
78,Vohibinany,-17.35,49.03,69.39,88,57,2.15,MG,1603252593
79,Point Pedro,9.82,80.23,84.76,71,85,15.26,LK,1603252594
80,Mar del Plata,-38.0,-57.56,52.0,93,0,6.6,AR,1603252574
81,Port Alfred,-33.59,26.89,55.99,73,0,5.3,ZA,1603252594
82,Esperance,-33.87,121.9,62.6,100,90,18.34,AU,1603252594
83,Kavieng,-2.57,150.8,81.01,81,99,10.67,PG,1603252594
84,Tataouine,32.93,10.45,57.2,62,0,1.12,TN,1603252595
85,Talnakh,69.49,88.4,8.6,92,44,2.24,RU,1603252595
86,Liverpool,53.41,-2.98,57.2,93,100,11.41,GB,1603252314
87,Kapaa,22.08,-159.32,78.8,83,75,10.29,US,1603252596
88,Santa Vitória do Palmar,-33.52,-53.37,58.14,73,99,13.49,BR,1603252596
89,New Norfolk,-42.78,147.06,63.0,51,98,1.99,AU,1603252414
90,Port Elizabeth,-33.92,25.57,46.4,93,3,3.36,ZA,1603252402
91,Honningsvåg,70.98,25.97,35.6,93,75,4.7,NO,1603252597
92,Hobart,-42.88,147.33,63.0,48,40,8.05,AU,1603252460
93,Iqaluit,63.75,-68.51,32.0,96,90,14.99,CA,1603252597
94,Qaanaaq,77.48,-69.36,20.37,83,68,5.84,GL,1603252597
95,Xunchang,28.45,104.72,70.66,54,72,1.41,CN,1603252597
96,Vestmannaeyjar,63.44,-20.27,38.53,71,100,3.51,IS,1603252515
97,Husavik,66.04,-17.34,24.8,92,40,4.7,IS,1603252598
98,Flinders,-34.58,150.86,77.0,47,40,14.99,AU,1603252598
99,Nurota,40.56,65.69,55.4,23,0,9.17,UZ,1603252598
100,Kutum,14.2,24.67,71.62,20,57,13.13,SD,1603252598
101,Cabo San Lucas,22.89,-109.91,82.99,61,5,4.7,MX,1603252550
102,Half Moon Bay,37.46,-122.43,68.0,60,5,3.36,US,1603252409
103,Fort Nelson,58.81,-122.7,15.8,72,20,4.7,CA,1603252599
104,Broome,42.25,-75.83,51.01,100,90,3.36,US,1603252599
105,Faanui,-16.48,-151.75,79.18,79,10,13.69,PF,1603252599
106,Canary Islands,28.0,-15.5,73.4,69,75,6.93,ES,1603252600
107,Acaraú,-2.89,-40.12,77.88,81,3,14.99,BR,1603252600
108,Ponta do Sol,32.67,-17.1,66.2,72,20,3.36,PT,1603252439
109,Krasnosel'kup,65.7,82.47,26.96,98,100,11.07,RU,1603252600
110,Mount Isa,-20.73,139.5,102.2,12,19,9.17,AU,1603252600
111,Beira,-19.84,34.84,77.0,94,75,5.82,MZ,1603252601
112,Camaná,-16.62,-72.71,61.11,77,68,3.0,PE,1603252601
113,Polokwane,-23.9,29.47,60.8,77,75,11.41,ZA,1603252601
114,Marsá Maţrūḩ,31.35,27.25,69.8,77,61,6.93,EG,1603252602
115,Souillac,-20.52,57.52,77.0,69,75,12.75,MU,1603252602
116,Valparaíso,-33.04,-71.63,50.0,100,0,8.05,CL,1603252422
117,Jinji,23.23,110.83,74.64,57,0,9.44,CN,1603252602
118,Atasū,48.68,71.64,50.02,36,0,7.09,KZ,1603252603
119,Punta Arenas,-53.15,-70.92,42.8,75,75,6.93,CL,1603252603
120,Kedrovyy,56.17,91.82,42.8,70,40,8.95,RU,1603252603
